x,y,c
-4.0,0.01831500321887126,0.01831563888873418
-3.9,0.02024121042785626,0.02024191144580439
-3.8,0.02236999490808076,0.0223707718561656
-3.7,0.024722669884765,0.024723526470339388
-3.6,0.027322774654785,0.02732372244729256
-3.5,0.0301963358420405,0.0301973834223185
-3.4,0.033372139041015,0.03337326996032608
-3.3,0.03688191722082426,0.036883167401240015
-3.2,0.04076082015612776,0.04076220397836621
-3.1,0.04504767683789,0.0450492023935578
-3.0,0.04978538028454576,0.049787068367863944
-2.9,0.055021354507324,0.05502322005640723
-2.8,0.06080800025134276,0.06081006262521797
-2.7,0.06720328420715325,0.06720551273974976
-2.6,0.07427111758789,0.07427357821433388
-2.5,0.082082276529785,0.0820849986238988
-2.4,0.090714943453613,0.09071795328941251
-2.3,0.10025551883996527,0.10025884372280375
-2.2,0.11079948339269927,0.11080315836233387
-2.1,0.1224523643669425,0.1224564282529819
-2.0,0.13533089468566825,0.1353352832366127
-1.9,0.1495637710178215,0.14956861922263506
-1.8,0.16529352796447727,0.16529888822158653
-1.7,0.18267759678356876,0.18268352405273466
-1.6,0.20188997024816827,0.20189651799465538
-1.5,0.223122924360351,0.22313016014842982
-1.4,0.24658896377624476,0.2465969639416065
-1.3,0.272523147964843,0.2725317930340126
-1.2,0.3011846665208738,0.30119421191220214
-1.1,0.3328605266120605,0.33287108369807955
-1.0,0.36786777081921374,0.36787944117144233
-0.9,0.4065567660837395,0.4065696597405991
-0.8,0.449314715599121,0.44932896411722156
-0.7,0.496569545356933,0.4965853037914095
-0.6,0.5487946186223135,0.5488116360940265
-0.5,0.6065118708649895,0.6065306597126334
-0.4,0.6702992672814935,0.6703200460356393
-0.3,0.740795246088378,0.7408182206817179
-0.2,0.8187053715007315,0.8187307530779818
-0.1,0.9048093497473135,0.9048374180359595
0.0,1.0,1.0
0.1,1.1051366859816885,1.1051709180756477
0.2,1.2213649060319816,1.2214027581601699
0.3,1.349816979239746,1.3498588075760032
0.4,1.4917784490656736,1.4918246976412703
0.5,1.648670134840332,1.6487212707001282
0.6,1.8220623341960445,1.8221188003905089
0.7,2.013691762390136,2.0137527074704766
0.8,2.225473547514648,2.225540928492468
0.9,2.459528623027832,2.45960311115695
1.0,2.718281814257324,2.718281828459045
1.1,3.004075014092773,3.0041660239464334
1.2,3.320016288827148,3.3201169227365472
1.3,3.669185541452148,3.6692966676192444
1.4,4.055080100661132,4.0551999668446745
1.5,4.481556534368164,4.4816890703380645
1.6,4.95288590043164,4.953032424395115
1.7,5.473785501933593,5.4739473917272
1.8,6.049468462408203,6.0496474644129465
1.9,6.685696512625976,6.6858944422792685
2.0,7.388837557089843,7.38905609893065
2.1,8.165934260796876,8.16616991256765
2.2,9.02475293447461,9.025013499434122
2.3,9.973894444148437,9.974182454814718
2.4,11.022858147048828,11.023176380641601
2.5,12.18214209809961,12.182493960703473
2.6,13.46334887772656,13.463738035001692
2.7,14.879301871273437,14.879731724872837
2.8,16.444183809277344,16.444646771097048
2.9,18.173633481914063,18.17414536944306
3.0,20.084971127796877,20.085536923187668
3.1,22.197326075941405,22.197951281441636
3.2,24.531838920070314,24.532530197109352
3.3,27.111874338875,27.112638920657883
3.4,29.96325556494922,29.96410004739701
3.5,33.11454298744531,33.11545195869231
3.6,36.59722927025781,36.59823444367799
3.7,40.44619291692187,40.4473043600674
3.8,44.699956652375,44.701184493300815
3.9,49.4010915725,49.40244910553017
